N,SLL(dB),POINTS(without 0 and 1)
10,-15.19,"[0.2458707115209726, 0.36028709061401243, 0.4651388630365632, 0.565149696739787, 0.6620908593856435, 0.7460458760141417, 0.8327738827142322, 0.899442142302467]"
11,-14.79,"[0.12437589689141962, 0.329667051222464, 0.42109636721191746, 0.508743765686061, 0.5852677646910667, 0.6697446783281709, 0.7396075950293024, 0.8078039752489483, 0.9128093394550524]"
13,-17.26,"[0.19086751363928214, 0.2760827165602462, 0.35966807891103625, 0.44121256881425674, 0.5119781046346251, 0.5714302547856227, 0.6445792085970974, 0.7276244344235223, 0.7968809476607503, 0.8648967987204188, 0.9192581733858307]"
15,-18.56,"[0.17066002785151238, 0.24618537597014858, 0.3237159370374162, 0.3984405776890632, 0.46163349908186224, 0.5142975413505517, 0.5686774667655089, 0.6232910609207134, 0.6860111741818907, 0.7555699327809676, 0.8174345842693918, 0.8786115353121153, 0.9275212041356198]"
17,-19.45,"[0.14343977172766706, 0.20959287385493136, 0.27747239622380754, 0.34373714063373983, 0.4086997527049117, 0.46550198317372043, 0.5121969448824867, 0.5577102869773194, 0.6020090866043178, 0.6506820547194019, 0.7038318480087769, 0.7611266307538969, 0.824378945747178, 0.8885763938993354, 0.9381591501665838]"
20,-20.52,"[0.11853495423401834, 0.17477167557702308, 0.23024705876427085, 0.28797875996786304, 0.34044893987355423, 0.38510831143384766, 0.42400160067187814, 0.465443011765722, 0.5098820404491236, 0.5538861370138912, 0.5956987507971013, 0.6339293873611598, 0.6712312534455316, 0.715549171984779, 0.7713666967258883, 0.8364337937071683, 0.8997434700756698, 0.9500012540612337]"
23,-20.76,"[0.061002887358321135, 0.15562655468700304, 0.20059666217301098, 0.24950390781775766, 0.2937237041492911, 0.3343756789473448, 0.37522633367519365, 0.4150816644669246, 0.4513910778040596, 0.4864580595712929, 0.5236424094011672, 0.5581862524651422, 0.5917604608842164, 0.6292549181890174, 0.6669689185599088, 0.7056537790351098, 0.751728673041911, 0.7992374511436857, 0.8540552063886621, 0.901414024790051, 0.9590677823398213]"
26,-20.89,"[0.031765542593304164, 0.1183717735387012, 0.17007948702612632, 0.2128935903014438, 0.2509292458911922, 0.2918283949307077, 0.3295953128843227, 0.3638700261994246, 0.3990631119109109, 0.42647953085882295, 0.46257132267724593, 0.4921414465582195, 0.5232271357176042, 0.5575208111703647, 0.5878289756084428, 0.6199887134068655, 0.656508464765627, 0.6855447523955417, 0.7251124007785884, 0.7645504585876851, 0.8132767250475216, 0.8607799467961496, 0.9091648388804958, 0.9576051943562611]"
30,-20.93,"[0.023435557096349403, 0.06826243566205566, 0.13537150003121426, 0.1814847181673664, 0.21921907625163295, 0.2525973964074327, 0.2842436030940285, 0.31654937300773056, 0.34584308999223945, 0.37647171560378684, 0.40589079040624515, 0.43304877278591036, 0.46056440999376363, 0.4884007268206121, 0.5158970823169094, 0.5420139290864477, 0.5700486743490117, 0.5987118226861222, 0.6262944891392864, 0.6557424895632751, 0.686653615756364, 0.7186947329362231, 0.7537524621202852, 0.7928122480388564, 0.8290440738371098, 0.8745359945946872, 0.9075219848213459, 0.9723405246487544]"
35,-20.93,"[0.01904761904761905, 0.04618154640960064, 0.11159782715683923, 0.14964459906860023, 0.17910156850949632, 0.21749244942915522, 0.2465206099934765, 0.27569266639647516, 0.3025156548616672, 0.32935282244960346, 0.35649667529749307, 0.37986694657979764, 0.40405717541542546, 0.42903095990831913, 0.45210642092936476, 0.4761823933893881, 0.49901733167335816, 0.5224890597181012, 0.5459641820566393, 0.5700915486375923, 0.5939660459771097, 0.6174084690108046, 0.6434367286686193, 0.6688698948630105, 0.6951924086850225, 0.7224423512372632, 0.7512257094143939, 0.7834775351217244, 0.8155370361486572, 0.8511608712663489, 0.900168609972182, 0.9300023248771171, 0.9809523809523809]"
